Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 78,288.01307,124,981.416525,202,341.079922,92,1610.509517,415,19,21.842,36.995,22.168,12.033,54.94156985,4648.795,0.1,1.328,1.832,1.954,1.505,2.489,1.801,35.137,3.641,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 79,316.818631,118,1193.765743,235,435.059551,90,1945.643925,441,19,23.211,46.956,21.785,11.359,53.41983578,5443.044,0.105,1.44,1.895,2.074,1.621,2.265,1.855,39.082,9.43,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 80,436.196351,161,1465.708851,260,548.110022,99,2450.015224,512,20,25.6,46.94,27.584,11.803,65.62822701,7743.348,0.032,1.422,1.964,2.443,1.521,2.706,2.345,45.063,5.042,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 81,404.16085,139,1311.62939,207,512.662946,88,2228.453186,432,20,21.6,45.592,23.98,14.19,60.3470621,7441.516,0.084,1.628,2.333,2.489,1.588,2.641,2.162,42.474,4.13,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 82,508.729917,165,1747.044167,260,650.121504,99,2905.895588,514,19,27.053,48.839,30.227,16.012,73.91940449,11190.892,0.096,1.466,1.965,2.459,1.809,3.332,2.631,47.885,5.175,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 83,346.507615,130,1167.813955,212,429.925545,96,1944.247115,433,19,22.789,41.17,23.828,12.948,59.2532223,6106.883,0.082,1.408,1.928,2.376,1.484,2.686,2.011,39.473,5.103,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 84,466.289634,157,1477.631203,241,568.90922,89,2512.830057,465,19,24.474,47.135,25.967,15.507,66.2605974,9078.641,0.086,1.398,2.017,2.743,1.581,3.018,2.312,43.826,5.559,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 85,396.353911,145,1381.965806,215,451.098513,82,2229.41823,442,19,23.263,41.69,26.955,15.92,67.88689982,7774.214,0.17,1.298,1.949,2.242,1.609,2.976,2.1,38.841,6.539,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 86,357.976701,136,1255.493176,227,404.877415,91,2018.347292,453,19,23.842,42.498,25.361,12.863,61.80510465,6336.755,0.127,1.46,1.856,2.119,1.575,2.741,1.92,39.701,4.368,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 87,376.028253,153,1132.390559,193,440.635017,83,1949.053829,427,19,22.474,42.029,22.539,13.54,57.30349022,6234.31,0.072,1.282,2.085,2.237,1.348,2.681,2.173,38.836,6.351,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 88,323.408566,122,1087.000189,205,407.178615,87,1817.58737,412,19,21.684,41.911,21.241,12.5,54.44029039,5481.983,0.059,1.41,2.027,2.011,1.593,2.488,1.99,37.782,3.299,0,0,0,0
