Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 55,380.186067,134,1211.87633,207,486.914858,79,2078.977255,420,19,22.105,47.186,21.45,12.67,54.3050551387322,6325.568,0.058,1.532,2.204,2.985,1.519,2.493,1.902,43.767,4.532,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 56,360.681286,141,1166.513252,194,430.66006,92,1957.854598,417,20,20.85,36.661,25.712,16.233,66.2709524006184,6873.189,0.142,1.324,1.945,1.964,1.669,2.919,2.194,33.531,5.194,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 57,367.046579,148,1146.219032,195,426.211586,80,1939.477197,418,19,22,41.492,22.227,13.697,57.114025793448,6249.89,0.055,1.259,2.105,2.545,1.699,2.597,2.09,39.165,5.958,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 58,387.008696,151,1285.893187,241,485.665555,91,2158.567438,473,19,24.895,44.302,23.8,13.804,60.2288087841598,7128.636,0.065,1.357,1.888,2.492,1.409,2.74,2.114,42.41,4.425,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 59,427.2746,146,1555.602464,263,589.9033,90,2572.780364,494,20,24.7,48.051,26.99,15.83,67.9587452590662,9445.954,0.121,1.492,1.895,2.436,1.677,2.853,2.22,43.197,9.659,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 60,685.969275,197,2189.939144,385,862.516449,134,3738.424868,699,22,31.773,52.409,34.884,19.092,86.6332394505786,17308.971,0.053,1.488,1.549,1.959,2.164,3.336,2.932,48.067,11.741,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 61,424.714539,145,1411.037299,228,558.627192,91,2394.37903,460,19,24.211,38.89,28.205,18.066,73.4183850190966,9583.654,0.076,1.411,1.759,2.118,2.217,3.25,2.696,37.924,6.864,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 62,404.99246,148,1451.620773,242,545.596375,91,2402.209608,480,19,25.263,46.852,25.821,15.238,65.1082622035388,8407.045,0.129,1.349,1.946,2.569,1.463,2.922,2.171,44.21,5.075,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 63,453.86346,152,1420.820225,202,504.366178,85,2379.049863,434,19,22.842,44.52,26.453,14.775,66.1259056934033,8490.984,0.068,1.431,2.146,2.437,1.658,3.001,2.299,41.252,5.563,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 64,517.816277,154,1801.925895,234,631.404715,84,2951.146887,460,19,24.211,47.292,32.156,16.791,79.1047291375078,11780.028,0.119,1.579,2.154,2.451,1.751,3.577,2.575,45.152,6.398,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 65,453.56878,145,1547.26844,242,614.757714,90,2615.594934,469,19,24.684,46.811,28.306,14.418,68.9406783517911,9429.586,0.057,1.592,1.984,2.522,1.567,3.056,2.66,43.973,6.516,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 66,603.36098,166,2187.126206,307,784.469099,109,3574.956285,573,19,30.158,51.804,35.441,19.128,87.3782979948406,16091.95,0.125,1.609,1.781,2.218,2.188,3.94,2.938,51.322,5.921,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 67,453.844894,153,1536.573201,241,610.979634,90,2601.397729,479,19,25.211,44.812,28.46,16.123,71.4233577786326,9949.361,0.076,1.405,1.89,2.343,1.893,3.257,2.582,42.836,5.668,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 68,513.615127,159,1594.898312,228,596.242226,91,2704.755665,475,19,25,47.385,28.448,14.653,70.334141182477,9823.304,0.05,1.492,2.117,2.543,1.888,3.154,2.518,45.964,4.789,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 69,367.430781,139,1023.004248,199,439.169191,75,1829.60422,408,19,21.474,32.857,23.694,17.38,64.5430230720043,6553.343,0.075,1.205,1.71,2.174,1.649,3.007,2.34,32.642,4.311,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 70,337.412136,134,1099.461466,194,396.578369,87,1833.451971,414,19,21.789,37.273,23.776,13.652,59.9791525645973,5861.732,0.075,1.258,1.912,2.167,1.642,2.749,2.073,36.2,4.365,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 71,511.630523,168,1727.902927,302,673.958572,96,2913.492022,542,19,28.526,46.802,30.749,17.09,76.951487643433,11043.949,0.142,1.458,1.654,2.487,1.853,3.352,2.688,45.701,7.134,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 72,491.742031,155,1563.465362,258,633.062391,98,2688.269784,507,20,25.35,47.421,27.474,16.474,69.8341225235825,10388.057,0.076,1.484,1.983,2.223,1.817,3.067,2.654,44.417,5.056,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 73,404.199069,139,1134.690729,209,390.039646,75,1928.929444,419,19,22.053,40.265,22.689,13.748,58.2037809116196,6266.378,0.047,1.378,1.948,2.61,1.857,2.726,1.925,38.542,3.555,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 74,447.399291,135,1517.977563,206,603.971301,83,2569.348155,418,19,22,47.187,25.485,15.492,65.7452040870884,9414.551,0.035,1.664,2.374,2.454,1.701,3.042,2.571,44.349,5.567,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 75,454.203961,146,1386.068918,227,519.49403,87,2359.766909,450,20,22.5,46.118,25.385,13.848,62.5251293698514,7881.613,0.072,1.4,2.139,2.428,1.768,2.677,1.982,41.706,5.415,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 76,301.588069,131,954.559957,194,380.508366,68,1636.656392,388,19,20.421,39.198,19.85,12.472,51.1538269134864,4746.55,0.066,1.36,2.017,2.611,1.386,2.379,2.045,36.097,3.194,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 77,291.04809,126,949.533242,189,349.250014,82,1589.831346,393,19,20.684,36.835,21.05,11.733,52.492443736636,4505.131,0.054,1.238,1.972,2.297,1.568,2.337,1.722,34.928,5.227,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 78,666.596913,206,1957.739526,341,712.59869,118,3336.935129,647,20,32.35,48.482,32.746,18.649,82.632844619984,14801.5,0.045,1.29,1.563,1.962,2.139,3.601,2.761,47.496,5.92,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 79,388.959578,153,1322.221883,225,489.751915,95,2200.933376,462,20,23.1,41.257,25.021,15.331,64.6400794612499,7887.1,0.048,1.422,1.956,2.163,1.51,2.842,1.977,39.851,4.815,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 80,528.84055,161,1890.116417,279,701.780899,99,3120.737866,524,19,27.579,49.858,35.431,13.086,80.0559671089348,9954.081,0.178,1.551,1.907,2.259,1.781,3.425,2.494,48.306,6.664,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 81,432.160333,147,1401.477374,210,575.596466,88,2409.234173,443,19,23.316,46.957,24.81,15.266,63.2995580307549,8375.728,0.101,1.433,2.228,2.427,1.597,2.849,2.392,43.405,5.943,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 82,405.650265,147,1153.117873,230,435.685019,97,1994.453157,466,20,23.3,35.583,25.187,16.263,65.905946910839,7273.088,0.047,1.309,1.669,2.134,1.896,2.911,2.226,35.71,3.915,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 83,428.103608,156,1319.141908,209,512.511914,95,2259.75743,456,19,24,38.22,28.547,16.128,71.5151797717628,8379.708,0.09,1.256,1.83,1.941,1.848,3.17,2.425,37.342,5.727,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 84,364.15041,159,1105.490331,193,379.269105,90,1848.909846,428,20,21.4,35.723,23.61,17.237,63.8742359930592,6200.615,0.185,1.159,1.992,2.078,1.612,2.711,2.174,34.048,5.932,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 85,532.359887,148,1688.990667,285,652.065189,96,2873.415743,525,19,27.632,44.465,32.069,17.634,79.363837620216,11735.488,0.109,1.498,1.559,2.252,2.073,3.574,2.916,42.476,6.679,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 86,400.699638,150,1193.685811,207,458.505208,90,2052.890657,432,20,21.6,35.039,28.805,15.056,70.106705904501,7102.967,0.107,1.322,1.88,2.092,1.73,2.946,2.386,35.066,5.409,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 87,340.875812,131,1046.941642,185,384.752131,81,1772.569585,392,19,20.632,38.729,22.456,12.149,56.6809289214455,5264.006,0.048,1.322,2.093,2.268,1.702,2.566,1.894,36.24,5.179,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 88,511.787121,156,1734.841377,262,655.939128,92,2902.567626,500,19,26.316,51.721,28.584,15.829,70.9130642872144,11065.794,0.097,1.518,2.003,2.649,1.777,3.2,2.611,48.385,6.222,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 89,846.596424,226,1982.975587,332,965.827516,166,3795.399527,716,19,37.684,55.236,31.19,16.58,76.3065718256466,14988.06,-0.002,1.311,1.608,1.726,2.521,3.23,3.046,55.669,12.933,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 91,494.022321,152,1788.18881,240,632.517956,89,2914.729087,473,19,24.895,47.453,32.205,16.095,78.2270426683775,11310.495,0.122,1.597,2.121,2.763,1.882,3.552,2.579,45.942,5.291,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 92,437.804864,146,1481.155523,210,559.813546,93,2478.773933,436,19,22.947,47.294,26.858,13.915,65.3390363995199,8530.479,0.078,1.696,2.235,2.455,1.56,2.95,2.143,44.326,5.05,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 93,406.604389,149,1446.87509,235,535.077326,87,2388.556805,462,19,24.316,47.08,25.518,14.591,64.2938426581168,8234.56,0.103,1.361,2.108,2.689,1.473,2.905,2.039,44.211,5.391,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 94,405.66063,156,1320.92648,243,509.49824,92,2236.08535,475,19,25,44.778,25.657,13.066,62.0134346424337,7191.217,0.085,1.361,1.901,2.504,1.505,2.81,2.164,42.46,5.989,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 95,388.119484,148,1255.14028,213,466.778386,83,2110.03815,436,20,21.8,41.405,24.368,14.946,62.7166684961106,6920.803,0.124,1.326,2.047,2.299,1.588,2.689,2.213,38.019,5.668,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 96,403.474714,144,1311.422529,221,511.598876,82,2226.496119,432,19,22.737,46.042,23.457,13.777,59.8120463221348,7304.172,0.062,1.452,2.139,2.59,1.438,2.735,2.153,42.961,6.259,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 97,389.352605,130,1189.44386,198,443.862299,85,2022.658764,409,20,20.45,39.971,25.075,12.965,61.2669057370436,6516.769,0.042,1.463,2.129,2.326,1.815,2.646,2.112,37.399,5.005,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 98,352.58612,143,1118.065001,210,406.794467,97,1877.445588,449,19,23.632,42.19,22.311,12.742,56.3441162865158,5750.643,0.084,1.347,1.905,1.901,1.434,2.568,1.802,38.778,5.601,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 99,564.750886,158,2016.484902,316,751.749105,94,3332.984893,561,19,29.526,53.415,32.879,16.973,79.8514267376708,13725.831,0.121,1.52,1.764,2.22,2.172,3.548,3.129,49.258,6.302,0,0,0,0
